Total frames: 441
Unique palettes: 53
Changes: 52

Change frames (real SNES frame numbers):
  Frame 3370 (idx=38)
  Frame 3380 (idx=39)
  Frame 3390 (idx=40)
  Frame 3400 (idx=41)
  Frame 3420 (idx=43)
  Frame 3430 (idx=44)
  Frame 3440 (idx=45)
  Frame 3450 (idx=46)
  Frame 3460 (idx=47)
  Frame 3470 (idx=48)
  Frame 3480 (idx=49)
  Frame 3490 (idx=50)
  Frame 3510 (idx=52)
  Frame 3520 (idx=53)
  Frame 3530 (idx=54)
  Frame 3540 (idx=55)
  Frame 3570 (idx=58)
  Frame 3580 (idx=59)
  Frame 4370 (idx=138)
  Frame 4430 (idx=144)
  Frame 4440 (idx=145)
  Frame 4450 (idx=146)
  Frame 4460 (idx=147)
  Frame 4470 (idx=148)
  Frame 4860 (idx=187)
  Frame 4910 (idx=192)
  Frame 4920 (idx=193)
  Frame 5130 (idx=214)
  Frame 5140 (idx=215)
  Frame 5150 (idx=216)
  Frame 5160 (idx=217)
  Frame 6330 (idx=334)
  Frame 6340 (idx=335)
  Frame 6350 (idx=336)
  Frame 6360 (idx=337)
  Frame 6370 (idx=338)
  Frame 6380 (idx=339)
  Frame 6390 (idx=340)
  Frame 6400 (idx=341)
  Frame 6420 (idx=343)
  Frame 6430 (idx=344)
  Frame 6440 (idx=345)
  Frame 6450 (idx=346)
  Frame 6460 (idx=347)
  Frame 6470 (idx=348)
  Frame 6480 (idx=349)
  Frame 6490 (idx=350)
  Frame 6520 (idx=353)
  Frame 6540 (idx=355)
  Frame 7330 (idx=434)
  Frame 7390 (idx=440)
  Frame 7400 (idx=441)
