MMR ROM Structure Analysis
============================================================

ROM size: 4194816 bytes (4.00 MB)
Header offset: 0

Code/Table banks: 94
Data banks: 34
Empty banks: 0

Bank details:
Bank   ROM Addr  Entropy   Zero%    FF%     Type
--------------------------------------------------
$00   0x000000     4.759    8.0%  43.3% CODE/TBL
$01   0x008000     5.371    6.5%  34.5% CODE/TBL
$02   0x010000     6.373   20.2%   1.9% CODE/TBL
$03   0x018000     6.142   18.3%   2.1% CODE/TBL
$04   0x020000     6.100   17.7%   1.6% CODE/TBL
$05   0x028000     6.544   11.1%   3.0% CODE/TBL
$06   0x030000     6.562   13.3%   2.0% CODE/TBL
$07   0x038000     6.777   13.4%   1.2% CODE/TBL
$08   0x040000     6.473   17.6%   2.4% CODE/TBL
$09   0x048000     7.441    5.8%   4.2%     DATA
$0A   0x050000     7.309    6.6%   4.5%     DATA
$0B   0x058000     6.582    7.3%  18.7% CODE/TBL
$0C   0x060000     6.098   18.5%   8.0% CODE/TBL
$0D   0x068000     6.110   16.8%   4.8% CODE/TBL
$0E   0x070000     6.077   15.7%   8.1% CODE/TBL
$0F   0x078000     6.216   18.2%   2.6% CODE/TBL
$10   0x080000     6.413   14.8%   5.3% CODE/TBL
$11   0x088000     5.624    5.2%  34.6% CODE/TBL
$12   0x090000     7.003    9.4%   5.0%     DATA
$13   0x098000     6.743    6.8%   6.2% CODE/TBL
$14   0x0A0000     6.898    8.8%   5.0% CODE/TBL
$15   0x0A8000     5.913   10.2%  25.1% CODE/TBL
$16   0x0B0000     6.667   14.6%   3.0% CODE/TBL
$17   0x0B8000     5.442   17.3%   0.8% CODE/TBL
$18   0x0C0000     6.372   19.9%   6.5% CODE/TBL
$19   0x0C8000     6.880    5.5%   2.8% CODE/TBL
$1A   0x0D0000     6.679    8.8%   1.0% CODE/TBL
$1B   0x0D8000     7.112   12.4%   2.0%     DATA
$1C   0x0E0000     7.248    2.7%   4.3%     DATA
$1D   0x0E8000     7.238    2.6%   3.8%     DATA
$1E   0x0F0000     6.333    4.3%  15.2% CODE/TBL
$1F   0x0F8000     6.177   12.5%  12.4% CODE/TBL
$20   0x100000     7.054    5.4%   8.8%     DATA
